职位名称,公司名称,公司规模,行业,融资,技能要求,地区,薪资,工作经验,学历,福利
数据分析师,阳江南野生鲜贸易有限公司,少于15人,"电商,移动互联网",未融资,"['数据分析', '商业']",天河区,7k-12k,1-3年,本科,"发展前景好,牛人团队,平台大,挑战性"
数据分析高级顾问 - GZ/SZ,普华永道中天会计师事务所（特殊普通合伙）北京分所,2000人以上,金融,不需要融资,"['数据分析', '数据挖掘']",天河区,15k-20k,3-5年,本科,行业翘楚 精英相伴 卓越培训 探索创新
数据分析师,广州游爱网络技术有限公司,500-2000人,"移动互联网,游戏",上市公司,['数据分析'],天河区,5k-9k,应届毕业生,本科,"双休，餐费补贴,年底双薪,六险一金"
电力数据分析师,广州汇电云联互联网科技有限公司,50-150人,移动互联网,A轮,[],天河区,15k-22k,1-3年,本科,"产品前景佳,技术要求高,晋升空间大"
市场数据分析师,佛山市创商汇电子商务有限公司,50-150人,"电商,消费生活",A轮,['数据分析'],海珠区,8k-15k,3-5年,本科,五险一金、双休、年终奖、提供工作餐
游戏数据分析师,广州帝释天软件有限公司,15-50人,"移动互联网,游戏",A轮,['数据分析'],海珠区,15k-20k,3-5年,不限,"五险一金,包两餐,年终奖金,旅游"
数据分析,广州视源电子科技股份有限公司,2000人以上,"数据服务,硬件",上市公司,"['可视化', '数据运营', '数据分析', '数据库']",黄埔区,15k-30k,3-5年,本科,让企业数据自己跑起来
数据分析师,广州骏伯网络科技有限公司,150-500人,移动互联网,上市公司,"['商业', '数据分析']",天河区,15k-30k,5-10年,大专,结构扁平 领导nice 年底双薪
数据分析,广州麦锐电子科技有限公司,15-50人,电商,未融资,"['SPSS', '数据运营', '数据分析']",越秀区,4k-6k,1-3年,大专,发展上升期 项目多 福利待遇齐全
数据分析师,广州民间金融街征信有限公司,15-50人,"移动互联网,金融",不需要融资,"['数据分析', '数据库', '数据运营']",天河区,5k-7k,不限,大专,初创公司，与公司共成长，创造无限可能！
电信业务数据分析工程师,广东亿迅科技有限公司,2000人以上,通讯电子,不需要融资,['数据分析'],海珠区,6k-10k,1-3年,本科,五险一金 福利好 带薪年假
数据分析师,广州尚嘉园艺有限公司,15-50人,"电商,消费生活",不需要融资,"['商业', '数据运营']",天河区,7k-12k,1-3年,本科,"优秀团队,绩效奖金,转正机会,客户资源"
游戏数据分析师,广州四三九九信息科技有限公司,500-2000人,游戏,未融资,['数据分析'],天河区,8k-15k,不限,本科,"五险一金,餐饮补贴,专业培训,年终奖金"
数据分析师,广州奇越网联数据科技有限公司,15-50人,"数据服务,移动互联网",不需要融资,"['数据分析', '可视化']",天河区,5k-10k,3-5年,本科,大数据人工智能前沿知识培训
数据分析师,北京瑞天欣实数据科技有限公司,15-50人,数据服务,未融资,"['SQL', '数据库', '数据分析']",天河区,7k-14k,不限,硕士,12天年假 六险一金 双休
数据分析师,网易（杭州）网络有限公司,2000人以上,电商,上市公司,"['数据库', '数据分析', 'SQL', '可视化']",天河区,15k-30k,3-5年,本科,大神团队 六险一金 海外旅游 周末双休
数据分析实习生,网易（杭州）网络有限公司,2000人以上,电商,上市公司,['数据分析'],天河区,1k-2k,应届毕业生,本科,平台好 、导师制、包三餐
数据分析师-在线游戏事业部,网易（杭州）网络有限公司,2000人以上,电商,上市公司,"['MySQL', '数据处理', '数据分析']",天河区,15k-25k,3-5年,本科,大神团队 六险一金 海外旅游 周末双休
高级数据分析师,广州市百果园网络科技有限公司,2000人以上,"移动互联网,社交",上市公司,"['数据分析', 'SQL']",番禺区,20k-40k,3-5年,本科,"牛人团队,项目前景,薪资福利,发展空间"
数据分析师-2020届校招,广州趣丸网络科技有限公司,500-2000人,游戏,不需要融资,"['数据挖掘', '数据分析']",天河区,6k-8k,应届毕业生,本科,"双休,六险一金,包三餐，带薪年假，年终奖"
数据分析实习,广州汉兴高科技有限公司,少于15人,移动互联网,未融资,"['数据运营', '数据分析']",天河区,5k-9k,应届毕业生,硕士,"优秀团队,年底分红"
数据分析师（包吃）,广州尚美网络科技有限公司,150-500人,"移动互联网,电商",D轮及以上,"['数据分析', '商业', '数据运营', '数据库']",白云区,6k-10k,1-3年,大专,绩效奖金带薪年假员工旅游包吃全勤工龄奖
数据分析师,广州赛泽科技有限公司,50-150人,"移动互联网,游戏",未融资,"['数据分析', '数据库', '数据运营']",天河区,12k-20k,应届毕业生,本科,五险一金、绩效奖金、包吃、节假日福利等
数据分析师,民加科风信息技术有限公司,150-500人,金融,未融资,"['数据分析', '数据运营', '数据库']",越秀区,8k-15k,3-5年,本科,"年终多薪,双休,互联网文化"
